title,href,tag,summary
US airman to appear in court over intelligence leak,/news/world-us-canada-65271302,US & Canada,Jack Teixeira faces charges in Boston after classified files on the war in Ukraine appeared online.
Watch the arrest of the suspected leaker,/news/world-us-canada-65270387,US & Canada,
"Texas dairy farm explosion kills 18,000 cows",https://www.bbc.com/news/world-us-canada-65258108,US,
Tech worker arrested in Cash App founder's killing,/news/world-us-canada-65257806,US & Canada,
The wool that could capture carbon,https://www.bbc.com/future/article/20230413-can-regenerative-wool-make-fashion-more-sustainable,Future Planet,
"I'm at home, Biden says during historic Irish visit",/news/world-europe-65240668,Europe,The US president praises the strength of the Irish-US relationship and speaks of pride in Irish roots.
Florida moves to ban abortion after six weeks,/news/world-us-canada-65271298,US & Canada,The bill passed by the state's legislature must still be signed by Governor Ron DeSantis to become law.
Cars stranded after historic flood in Florida city,/news/world-us-canada-65271510,US & Canada,"Record rainfall has left the Florida coastal city underwater, closing roads, schools and the airport."
Martinez injury does not look great - Ten Hag,/sport/football/65270887,Football,"Manchester United boss Erik ten Hag says Lisandro Martinez's injury during the Europa League quarter-final with Sevilla ""does not look that great""."
West Ham dig deep to secure draw away to Gent,/sport/football/65259069,European Football,West Ham remain well placed to make back-to-back European semi-finals despite seeing their 100% winning run in the Europa Conference League ended by Gent.
Bayern suspend Mane after Sane punch claims,/sport/football/65257844,European Football,"Bayern Munich leave Sadio Mane out of their squad for Saturday's match against Hoffenheim on Saturday because of the player's ""misconduct""."
The women at the heart of the bloody War of the Roses,/reel/video/p0fghd71/the-women-at-the-heart-of-the-bloody-war-of-the-roses,,
Why we're probably living in a Matrix-like simulation,/reel/video/p0ff9hkw/why-your-life-is-probably-a-simulation,,
The origin of a modern obsession,/reel/video/p0fg23l8/the-modern-obsession-of-sneaker-collecting,,
Japan's little-known drinking dens,https://www.bbc.com/travel/article/20230413-the-drinking-culture-hidden-inside-japans-liquor-stores,Travel,"They may be slightly intimidating for first timers, but everyone is welcome"
An ancient trick to think more wisely,https://www.bbc.com/worklife/article/20230411-illeism-the-ancient-trick-to-help-you-think-more-wisely,Worklife,Illeism can help you to be more objective and less biased
8 of the best films of 2023 so far,https://www.bbc.com/culture/article/20230402-8-of-the-best-films-of-2023-so-far,Culture,From John Wick: Chapter 4 and Close to EO and Infinity Pool
The tricks to induce lucid dreams,https://www.bbc.com/future/article/20230413-what-are-the-best-lucid-dreaming-techniques,Future,Some lucid dream techniques have proven far more effective than others
Thousands get diagnosis after 60 new diseases found,https://www.bbc.com/news/health-65266255,Health,"Study analysed the DNA of families with unexplained, severe development disorders"
America's fastest-growing gun problem,https://www.bbc.com/news/world-us-canada-65170507,US,The sale of untraceable gun parts is fuelling the illegal gun trade in America and the world
The miniskirt pioneer who defined 60s fashion,https://www.bbc.com/news/in-pictures-65265873,In Pictures,A look back on the life of British fashion designer Dame Mary Quant
The rich worlds created by avalanches,/future/article/20230405-how-avalanche-management-could-help-wildlife-in-the-alps,,
The Alps' hidden butterfly paradise,/future/article/20230404-why-the-alps-are-a-haven-for-rare-butterflies,,
The abandoned mines heating homes,/future/article/20230324-how-old-coal-mines-can-help-the-climate,,
Award ban for pub displaying golly dolls,https://www.bbc.com/news/uk-england-essex-65260945,UK,"The Campaign for Real Ale says the dolls on display at the pub ""discriminate against customers"""
Fashion designer Dame Mary Quant dies aged 93,/news/entertainment-arts-65265531,Entertainment & Arts,
Yellow dust misery sweeps China and South Korea,/news/world-asia-65247927,Asia,
Twitter and hate speech: What's the evidence?,/news/world-us-canada-65246394,US & Canada,
Ghana first to approve 'world-changer' malaria vaccine,/news/health-65252511,Health,
Homage to a friend wins 2023 Sony World Photography Awards,/news/in-pictures-65208363,In Pictures,
Environment Agency workers strike over falling pay,/news/science-environment-65244157,Science & Environment,
Jesus wigs and false bananas: Africa's top shots,/news/world-africa-65262841,Africa,
The ship graveyard which has claimed many lives,/news/uk-wales-57853220,Wales,
Green leaves and yawning soldiers: Africa's top shots,/news/world-africa-65200809,Africa,
In pictures: King Charles's state visit to Germany,/news/in-pictures-65123931,In Pictures,
Royal murals and rare rhinos: Africa's top shots,/news/world-africa-65106486,Africa,
